"BehaviorSpace results (NetLogo 6.0.4)"
"ds_model_code-done.nlogo"
"flow-on-x-6"
"08/16/2019 02:30:31:718 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","60","0","30"
"[run number]","sidewalk-width","pedestrian-flow","disabled-proportion","bus-stop-type","[step]","mean-delay","mean-delay-dis","mean-delay-non","total-colli","mean-colli-dis","mean-colli-non"
"76","6","200","0.05","backing building","36000","2.373938173722047","3.215287083921716","2.2804549614776395","34","7","3"
"77","6","200","0.05","backing building","36000","0.4425670205184866","1.5608000280546719","0.3767886083104757","27","4","1.3529411764705883"
"75","6","200","0.05","backing building","36000","1.0767966233015347","1.2036147671654094","1.045092087335566","48","2.5","2.375"
"74","6","200","0.05","backing building","36000","1.1328526168515172","-0.0020713942149939157","1.2085142175892847","42","3","2.6"
"80","6","200","0.05","backing building","36000","1.1879826149629809","1.7029717536048783","0.8602622540090459","47","3.7142857142857144","1.9090909090909092"
"78","6","200","0.05","backing building","36000","0.9486093139577321","0.97507722159542","0.9453008255030211","20","3","2.125"
"79","6","200","0.05","backing building","36000","0.45168821030263173","0.36528876135238164","0.47760804498770676","23","1.6666666666666667","1.8"
"81","6","300","0.05","bus flag","36000","0.5356753792275605","0.5214250973203693","0.537575416815186","19","1","1.1333333333333333"
"84","6","300","0.05","bus flag","36000","0.4992866741551045","1.0979665136204773","0.40718208346812407","27","3","1.6153846153846154"
"83","6","300","0.05","bus flag","36000","0.39414222868954146","0.4294967905294005","0.39060677250555553","44","2.5","1.95"
"82","6","300","0.05","bus flag","36000","0.6897888981046594","1.7523784395512223","0.6233770517642492","32","3","1.8125"
"85","6","300","0.05","bus flag","36000","0.6946953161808698","-0.004215775099766006","0.7358077333150248","43","2","2.411764705882353"
"86","6","300","0.05","bus flag","36000","2.3612995757441566","4.321823465532076","1.7846749022771216","64","3.6","2.7058823529411766"
"87","6","300","0.05","bus flag","36000","1.3625948171443658","1.3290974401599143","1.3793435056365915","43","4","2.3"
"88","6","300","0.05","bus flag","36000","1.4494340412269635","0.10616483711907065","1.683046076723988","66","2","2.5217391304347827"
"89","6","300","0.05","bus flag","36000","0.7333929782904378","0.45740502094395197","0.7728198293399358","51","3.5","3.142857142857143"
"91","6","300","0.05","backing road","36000","1.336643133302176","0","1.336643133302176","51","0","2.6842105263157894"
"90","6","300","0.05","bus flag","36000","1.6968205541167245","0.6715947612265355","1.9764275885413218","61","2","2.227272727272727"
"93","6","300","0.05","backing road","36000","0.6704323464507167","1.1776745714985992","0.6405945685067236","33","2","1.8235294117647058"
"96","6","300","0.05","backing road","36000","1.2311754937399018","1.4384525674356314","1.1945971866171259","56","3.6666666666666665","2.6470588235294117"
"92","6","300","0.05","backing road","36000","4.152402246015801","2.7169121701915184","4.511274764971872","77","6","3.3125"
"98","6","300","0.05","backing road","36000","1.7668014701715316","1.854569690750857","1.7375453966450898","79","5","3.6"
"94","6","300","0.05","backing road","36000","4.354986280902932","-0.003966859641131748","4.7512547482251195","41","3","3.4545454545454546"
"100","6","300","0.05","backing road","36000","1.3788041381724692","1.0038329826319896","1.6131611103852688","30","2","2.5"
"97","6","300","0.05","backing road","36000","1.1889050296092767","1.930207042366284","1.0653546941497753","34","1","2.6666666666666665"
"99","6","300","0.05","backing road","36000","1.8573273394308418","0.8808150694002244","1.9875289754349241","46","3.5","2.6"
"101","6","300","0.05","backing footway","36000","2.481654475307895","0.9072807175890981","2.7594851384347425","80","5.666666666666667","3.7058823529411766"
"103","6","300","0.05","backing footway","36000","0.9549224777219434","1.6941048254323192","0.9138567917380337","28","3","1.3888888888888888"
"104","6","300","0.05","backing footway","36000","1.9085947796417704","1.84458347879505","1.916125520917855","34","1.5","1.8235294117647058"
"105","6","300","0.05","backing footway","36000","0.6672281278207409","0.5251489902307114","0.7078221671321779","50","4.25","2.357142857142857"
"95","6","300","0.05","backing road","36000","3.286021509222324","3.853109200214238","3.2230117657787787","82","5","4"
"107","6","300","0.05","backing footway","36000","0.9704735834501516","0.6184002307859657","0.995621680069022","31","3","2"
"108","6","300","0.05","backing footway","36000","1.3350062594767649","-0.0038984999338609327","1.4019514974472962","68","2","3.3"
"106","6","300","0.05","backing footway","36000","3.623340004622601","3.050067169531715","3.6591695568157814","47","6","2.5625"
"102","6","300","0.05","backing footway","36000","1.164117795863363","1.2766741415208451","1.123188215624279","119","5.25","3.5"
"112","6","300","0.05","backing building","36000","0.6872505910098365","-0.0031635427934612417","0.8943748311508258","13","1.6666666666666667","0.8"
"109","6","300","0.05","backing footway","36000","1.4513251179960787","0.7951392565949433","1.554933411901521","59","3.3333333333333335","2.5789473684210527"
"110","6","300","0.05","backing footway","36000","1.0138964335892062","-0.0028323503380605075","1.110727746344184","57","4.5","2.2857142857142856"
"111","6","300","0.05","backing building","36000","2.0017468737337842","1.5316367037820395","2.0465192708720457","69","5","2.8095238095238093"
"114","6","300","0.05","backing building","36000","1.2029889223321264","3.093437731760897","0.9805831800463887","37","3.5","1.7647058823529411"
"115","6","300","0.05","backing building","36000","0.8436687520319333","1.362833001379908","0.7787732208634364","25","2.5","1.25"
"113","6","300","0.05","backing building","36000","0.9044408381764067","0.9808990181874109","0.8843202644893005","75","2.8","3.210526315789474"
"117","6","300","0.05","backing building","36000","1.4814183495602518","1.3788716722814318","1.509385625181748","31","2.6666666666666665","2.090909090909091"
"119","6","300","0.05","backing building","36000","0.9157867746045326","0.7471875278183617","0.9234503767311768","64","3","2.772727272727273"
"120","6","300","0.05","backing building","36000","0.8354546896449555","0.3250157208175312","0.9050600035759679","75","4.333333333333333","2.8181818181818183"
"118","6","300","0.05","backing building","36000","1.5122309285321576","1.1781329206692361","1.6104950484918406","86","3.8","3.9411764705882355"
"116","6","300","0.05","backing building","36000","4.364268222668242","6.862745576642255","3.764633657714479","217","8.333333333333334","6.68"
"122","6","400","0.05","bus flag","36000","0.8628789420236299","1.5653392766559007","0.6975941574042721","68","3.25","3.235294117647059"
"121","6","400","0.05","bus flag","36000","1.7273244983684102","-9.96801197345576E-4","1.7993378858503168","102","3","4.125"
"125","6","400","0.05","bus flag","36000","0.9512678845789267","0.6192983578319323","1.0309405709982054","84","2.8333333333333335","2.68"
"123","6","400","0.05","bus flag","36000","0.9480336167065024","2.369636498805484","0.7703332564441298","87","4.666666666666667","3.0416666666666665"
"127","6","400","0.05","bus flag","36000","0.7029500564620069","0.6552593879470313","0.7188469459669988","142","4.777777777777778","3.6666666666666665"
"129","6","400","0.05","bus flag","36000","0.7610214206110976","0.5078930353756258","0.8369599361817391","71","2.8333333333333335","2.7"
"126","6","400","0.05","bus flag","36000","2.9602044885581575","4.999086380381129","2.8286637213437724","171","12","4.741935483870968"
"124","6","400","0.05","bus flag","36000","1.6224464943110462","1.4029197758571552","1.6433538008304647","89","5.5","3.7142857142857144"
"131","6","400","0.05","backing road","36000","1.6547461655419","2.0527362010804655","1.5855305071873673","90","3.75","3.260869565217391"
"130","6","400","0.05","bus flag","36000","1.3930446505525338","1.2731222940697333","1.431201763978879","126","5.714285714285714","3.909090909090909"
"128","6","400","0.05","bus flag","36000","2.297215363444716","2.062663280028648","2.339861196793092","108","6.25","3.772727272727273"
"134","6","400","0.05","backing road","36000","1.0142232588701778","0","1.0142232588701778","44","0","2.933333333333333"
