,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
195,35,6,1500,0.05,backing building,180,0.42405910399999996,0.233333333,4.2339444010000005,4.251171511,4.230440581,903,18.58333333,11.52542373
196,38,6,1500,0.05,backing building,180,0.49604664200000004,0.20555555600000003,5.426015171,4.340856023,5.581037907000001,806,15.5,12.17857143
197,39,6,1500,0.05,backing building,180,0.626169371,0.166666667,4.058409323999999,4.039428895,4.063645305,867,13.3125,11.27586207
198,36,6,1500,0.05,backing building,180,0.322471048,0.25,3.29741093,2.306625306,3.5030456819999998,638,10.27272727,9.905660377
199,40,6,1500,0.05,backing building,180,0.514457587,0.21111111100000002,7.09026234,12.43794481,6.45173309,1124,18.25,14.59701493
200,3,8,1500,0.05,bus flag,180,0.651809185,0.108333333,2.121557979,2.749144484,2.023497588,520,10.1,6.546875
201,7,8,1500,0.05,bus flag,180,0.652615901,0.091666667,2.0129412280000003,1.9389551390000002,2.031966222,651,8.277777777999999,7.171428571
202,8,8,1500,0.05,bus flag,180,0.650445839,0.145833333,1.7601944999999999,1.641245984,1.7967940430000002,510,8.625,7.153846154
203,6,8,1500,0.05,bus flag,180,0.7976548290000001,0.120833333,2.253942445,2.50700096,2.22616773,761,9.777777777999999,8.207317072999999
204,4,8,1500,0.05,bus flag,180,0.45724529700000005,0.083333333,2.251813055,2.926594193,2.1393495319999998,613,10.81818182,7.484848485
205,5,8,1500,0.05,bus flag,180,0.556643421,0.095833333,4.318249809,6.697086654,3.993862967,581,9.333333332999999,7.53030303
206,2,8,1500,0.05,bus flag,180,0.63588926,0.15,3.079235169,1.358565078,3.362085047,784,10.25,9.054794521
207,1,8,1500,0.05,bus flag,180,0.44524633399999997,0.141666667,3.499485004,3.270934405,3.534402456,783,11.18181818,9.166666667000001
208,11,8,1500,0.05,backing road,180,0.633157644,0.1125,3.41521132,2.7869854689999998,3.5302385889999996,702,9.846153846,8.084507042
209,10,8,1500,0.05,bus flag,180,0.616392672,0.108333333,5.69032127,7.078778032000001,5.5531897379999995,849,11.0,9.395061728
210,13,8,1500,0.05,backing road,180,0.717833713,0.133333333,4.323798808,5.739511488,4.10316826,990,13.25,10.79220779
211,12,8,1500,0.05,backing road,180,0.497301293,0.170833333,3.2144180589999998,6.618266789,2.874033186,511,14.0,7.1166666670000005
212,15,8,1500,0.05,backing road,180,0.38740826100000003,0.120833333,2.779541219,4.574371818,2.5402304730000003,500,11.5,6.8
213,19,8,1500,0.05,backing road,180,0.772080065,0.11666666699999999,3.22739706,4.739422635,3.045953991,695,12.0,7.8266666670000005
